101	759	8	6.81
137	6674	4	51.33
452	178	3	13.83
5303	103	3	12.9
169	126	5	10.81
3460	103	3	9.25
1463	134	5	37.28
169	174	4	11.98
1697	342	11	134.22
986	236	13	133.72
2348	108	3	16.68
3163	101	3	6.4
9009	960	3	52.72
3076	1038	3	39.91
175	6509	4	49.78
105	1015	6	22.18
483	10180	3	48.15
523	304	3	18.52
134	305	3	8.8
9891	389	3	46.66
201	126	4	8.96
2051	3481	4	64.44
869	101	6	3.89
115	1376	3	15.53
597	1687	3	31.01
2286	1161	3	38.5
510	105	7	17.44
101	3320	3	6.4
771	102	7	8.12
103	3144	4	14.06
623	1111	16	213.84
497	308	8	65.21
4207	332	8	121.95
151	2575	3	25.03
1297	520	4	40.38
326	506	8	66.47
642	12	3	12.47
106	621	6	16.3
104	542	4	4.59
137	176	3	5.48
164	132	7	21.83
475	1873	4	43.15
4682	316	3	35.8
285	107	7	13.02
1866	172	3	23.5
115	536	14	85.87
448	102	19	34.3
118	961	3	13.36
103	4145	4	17.21
131	327	5	19.9
108	393	4	8.77
1220	116	5	29.92
119	116	12	20.9
859	214	4	28.59
2610	2347	5	80.47
101	888	13	25.53
545	113	3	8.55
469	104	5	6.28
4225	539	5	70.84
328	2102	12	158.08
197	299	3	12.4
2767	1044	13	235.6
347	286	3	15.67
918	682	9	104.6
6400	7969	4	92.91
339	129	3	8.89
1790	104	3	9.14
590	10195	3	49.28
438	104	6	8.64
333	101	29	42.63
3218	1988	3	45.05
823	57	3	7.23
3243	101	3	6.4
189	1579	4	33.06
343	448	3	18.35
844	112	3	10.72
611	121	12	76.67
101	5575	4	17.28
3069	101	3	5.89
1532	382	5	51.36
642	2864	4	50.53
124	292	13	66.97
817	2499	4	51.7
423	105	4	4.92
1872	2360	3	41.79
58	429	5	10.36
237	294	25	220.79
2633	204	3	27.94
120	208	6	16.09
715	269	3	19.71
2580	146	9	99.12
910	116	3	12.82
103	5188	4	20.54
268	601	3	18.46
598	713	3	24.88
456	308	5	34.78
1435	1104	3	34.35
3009	317	4	45.29
1884	1326	4	52.68
154	148	3	5.7
7952	7293	3	66.16
3106	1859	3	44.14
1006	127	3	15.08
305	379	3	16.56
101	786	12	19.34
179	194	3	8.69
9218	8387	3	75.16
101	637	12	13.61
17	379	3	23.95
151	2029	5	44.25
228	636	5	34.91
946	130	5	31.5
104	186	10	7.8
8085	134	4	51.08
1753	103	6	16.19
68	101	6	24.01
7820	1184	4	72.57
101	2633	3	5.02
634	145	3	14.45
109	4309	3	21.93
920	5130	6	105.31
393	115	3	7.4
575	673	19	231.36
235	171	4	14.95
1700	101	5	7.76
7371	107	3	25.41
235	103	23	25.32
1851	631	3	32.29
118	333	3	6.86
2325	767	9	131.15
596	2483	3	33.91
118	128	5	4.72
508	101	46	155.09
2958	102	3	7.59
908	58	8	36.3
2106	102	3	4.98
115	792	24	202.76
545	4305	3	38.21
110	3949	3	21.6
331	223	3	13.63
10368	114	3	35.08
105	377	7	13.39
115	623	4	15.56
156	139	4	8.71
180	517	3	14.73
507	5820	3	41.67
70	102	55	34.54
70	8	5	10.5
180	397	5	26.83
103	2111	3	5.44
180	465	4	20.98
776	449	3	23.9
470	696	5	44.12
398	761	3	22.98
2073	102	3	4.71
101	3759	3	7.65
191	120	3	3.92
103	661	9	12.3
197	4192	6	75.78
4249	9869	3	64.58
7707	146	3	35.23
109	1112	4	17.61
116	965	4	19.88
106	57	51	44.05
2253	103	3	5.73
617	101	10	8.06
101	1606	7	14.76
2365	331	3	29.8
246	6565	5	72.71
106	234	7	8.4
566	4834	6	92.6
129	281	4	12.6
1938	103	3	4.91
5314	170	6	81.7
329	604	3	19.93
111	680	17	111.46
2403	3226	3	46.83
1309	1251	4	48.67
554	9606	3	48.92
106	565	4	7.29
3049	124	3	23.19
135	171	4	9.07
1122	3360	10	175.35
135	103	36	21.91
161	1552	7	63.79
110	336	10	37.6
2177	1267	3	38.3
552	259	7	53.46
101	1352	6	8.63
157	5203	4	46.06
2815	746	3	37
207	121	3	4.71
3441	195	9	120.49
1864	168	3	23.25
373	101	18	16.16
149	588	3	14.19
3092	57	7	53.55
275	994	4	31.98
6436	619	5	82.88
621	167	3	15.38
138	553	3	12.71
191	539	3	15.66
167	125	4	6.81
665	399	3	21.89
1302	102	8	19.75
561	203	12	100.33
310	120	13	64.86
3934	3671	7	141.76
340	2387	3	29.96
1223	133	4	25.97
